,USDINR,NIFTY,INDIAVIX,GOLD,CRUDE,DXY
2018-06-20,68.05000305175781,10772.0498046875,12.170000076293945,1271.199951171875,66.22000122070312,95.05999755859375
2018-06-21,68.3499984741211,10741.099609375,12.449999809265137,1267.199951171875,65.54000091552734,94.87000274658203
2018-06-22,67.83000183105469,10821.849609375,12.020000457763672,1267.4000244140625,68.58000183105469,94.5199966430664
2018-06-25,67.85489654541016,10762.4501953125,12.579999923706055,1265.5999755859375,68.08000183105469,94.27999877929688
2018-06-26,68.33999633789062,10769.150390625,12.800000190734863,1256.5999755859375,70.52999877929688,94.68000030517578
2018-06-27,68.36499786376953,10671.400390625,13.510000228881836,1252.800048828125,72.76000213623047,95.29000091552734
2018-06-28,69.23999786376953,10589.099609375,13.949999809265137,1247.800048828125,73.44999694824219,95.38999938964844
2018-06-29,68.79669952392578,10714.2998046875,12.9399995803833,1251.300048828125,74.1500015258789,94.62999725341797
2018-07-02,68.43499755859375,10657.2998046875,13.369999885559082,1239.800048828125,73.94000244140625,94.87000274658203
2018-07-03,68.6948013305664,10699.900390625,13.0,1251.5999755859375,74.13999938964844,94.58999633789062
2018-07-04,68.83000183105469,10769.900390625,12.65999984741211,,,
2018-07-05,68.9800033569336,10749.75,12.579999923706055,1257.300048828125,72.94000244140625,94.47000122070312
2018-07-06,69.06999969482422,10772.650390625,12.4399995803833,1254.300048828125,73.80000305175781,94.04000091552734
2018-07-09,68.75499725341797,10852.900390625,12.390000343322754,1258.0999755859375,73.8499984741211,94.08000183105469
2018-07-10,68.65979766845703,10947.25,12.399999618530273,1253.800048828125,74.11000061035156,94.11000061035156
2018-07-11,68.9000015258789,10948.2998046875,12.779999732971191,1242.800048828125,70.37999725341797,94.72000122070312
2018-07-12,68.72000122070312,11023.2001953125,12.510000228881836,1245.0,70.33000183105469,94.80999755859375
2018-07-13,68.54000091552734,11018.900390625,12.300000190734863,1239.5999755859375,71.01000213623047,94.75
2018-07-16,68.48670196533203,10936.849609375,12.949999809265137,1238.0999755859375,68.05999755859375,94.51000213623047
2018-07-17,68.72000122070312,11008.0498046875,12.829999923706055,1225.699951171875,68.08000183105469,94.97000122070312
2018-07-18,68.35600280761719,10980.4501953125,13.680000305175781,1226.300048828125,68.76000213623047,95.08000183105469
2018-07-19,68.6155014038086,10957.099609375,13.59000015258789,1222.4000244140625,69.45999908447266,95.16999816894531
2018-07-20,68.93509674072266,11010.2001953125,13.539999961853027,1229.5,70.45999908447266,94.45999908447266
2018-07-23,68.7332992553711,11084.75,13.010000228881836,1224.0,67.88999938964844,94.66999816894531
2018-07-24,69.19999694824219,11134.2998046875,12.470000267028809,1223.9000244140625,68.5199966430664,94.61000061035156
2018-07-25,68.80999755859375,11132.0,12.210000038146973,1231.4000244140625,69.30000305175781,94.36000061035156
2018-07-26,68.83999633789062,11167.2998046875,12.029999732971191,1225.300048828125,69.61000061035156,94.75
2018-07-27,68.73999786376953,11278.349609375,12.3100004196167,1222.5999755859375,68.69000244140625,94.68000030517578
2018-07-30,68.61499786376953,11319.5498046875,12.59000015258789,1221.300048828125,70.12999725341797,94.36000061035156
2018-07-31,68.68499755859375,11356.5,12.479999542236328,1223.699951171875,68.76000213623047,94.48999786376953
2018-08-01,68.4968032836914,11346.2001953125,12.529999732971191,1217.9000244140625,67.66000366210938,94.62000274658203
2018-08-02,68.30709838867188,11244.7001953125,12.5600004196167,1210.5999755859375,68.95999908447266,95.16999816894531
2018-08-03,68.6155014038086,11360.7998046875,12.079999923706055,1214.199951171875,68.48999786376953,95.13999938964844
2018-08-06,68.50499725341797,11387.099609375,12.5600004196167,1208.5999755859375,69.01000213623047,95.36000061035156
2018-08-07,68.80999755859375,11389.4501953125,12.579999923706055,1209.5999755859375,69.16999816894531,95.22000122070312
2018-08-08,68.59600067138672,11450.0,12.539999961853027,1212.5999755859375,66.94000244140625,95.0999984741211
2018-08-09,68.45500183105469,11470.7001953125,12.680000305175781,1211.9000244140625,66.80999755859375,95.5
2018-08-10,69.0999984741211,11429.5,12.850000381469727,1211.0999755859375,67.62999725341797,96.36000061035156
2018-08-13,69.08499908447266,11355.75,13.399999618530273,1191.300048828125,67.19999694824219,96.38999938964844
2018-08-14,69.9490966796875,11435.099609375,13.279999732971191,1193.0,67.04000091552734,96.7300033569336
2018-08-15,69.94999694824219,,,1177.5,65.01000213623047,96.69999694824219
2018-08-16,70.66000366210938,11385.0498046875,13.649999618530273,1176.199951171875,65.45999908447266,96.6500015258789
2018-08-17,70.00499725341797,11470.75,13.15999984741211,1176.5,65.91000366210938,96.0999984741211
